"GENOTYPE","Winter_2013.LAe","Spring_2012.LAe","Spring_2013.LAe","Winter_2013.WD.LAl","Winter_2013.WW.LAl","Spring_2012.WD.LAl","Spring_2012.WW.LAl","Spring_2013.WD.LAl","Spring_2013.WW.LAend","Spring_2013.WW.gs_max","Spring_2013.WD.gs_max","Winter_2013.WW.gs_max","Winter_2013.WD.gs_max","Spring_2012.WW.gs_max","Spring_2012.WD.gs_max","Spring_2013.WW.Trate","Spring_2013.WD.Trate","Winter_2013.WW.Trate","Winter_2013.WD.Trate","Spring_2012.WW.Trate","Spring_2012.WD.Trate","Spring_2013.WW.Biol","Spring_2013.WD.Biol","Winter_2013.WW.Biol","Winter_2013.WD.Biol","Spring_2012.WW.Biol","Spring_2012.WD.Biol","Spring_2013.WW.WU","Spring_2013.WD.WU","Winter_2013.WW.WU","Winter_2013.WD.WU","Spring_2012.WW.WU","Spring_2012.WD.WU","Spring_2013.WW.WUE","Spring_2013.WD.WUE","Winter_2013.WW.WUE","Winter_2013.WD.WUE","Spring_2012.WW.WUE","Spring_2012.WD.WUE","Winter_2013.Be","Spring_2013.Be","Spring_2012.Be"
"PHR36",0.109038625,0.083404348,0.108620854,0.327432135,0.40661449,0.268085014,0.340392545,0.366488918,0.393734916,47.80807494,35.51993796,43.81920994,39.86925149,63.64386994,46.46265632,11.32138417,8.756031443,9.698327061,9.24299997,15.60639252,12.46155835,308.2878129,239.5441378,350.8244503,211.1212228,311.0478194,189.5643091,4.433262953,3.617605187,3.279625096,1.967471443,4.060259613,2.685627689,57.23144349,50.7892704,85.87178717,73.71268072,64.1740439,53.54181093,74.93340739,65.41844896,49.31835909
"PHT77",0.101496838,0.080632,0.104163949,0.308075638,0.40469126,0.24248254,0.337407535,0.390562031,0.454552466,57.39587791,34.26007477,41.65989301,43.06193347,66.13270393,53.58490503,12.90260887,8.868567588,9.638920449,9.380801338,16.53894444,13.3317388,338.4268456,268.207345,316.7923338,212.2986373,300.128185,187.1175118,5.573774328,3.851580854,2.990791074,1.898493986,4.357392464,2.596789394,49.69065478,51.1625336,83.80356077,80.12415319,58.74458774,54.35778962,67.2300789,66.7035175,48.81153799
"PHV63",0.102007221,0.077724654,0.099482613,0.264001221,0.407960814,0.284333575,0.342462162,0.359517854,0.405074338,42.66307077,26.41971883,43.10231456,37.02702476,50.3342033,46.72959059,11.16346516,7.821993458,10.11887415,8.664365524,14.51225876,12.60789409,284.2621752,235.6076741,332.2313993,194.165619,300.1667244,202.6915842,4.398752642,3.066453881,3.284822381,1.638213538,3.671034584,2.557817972,52.94859669,56.20804662,80.25549267,80.7261235,71.35617469,56.89872746,70.30382099,60.74750621,39.15571341
"PHW65",0.092682497,0.068239054,0.098069796,0.254651157,0.334168263,0.213721193,0.271158314,0.331900955,0.326510545,53.1909266,30.16736736,35.07200681,37.16179976,58.74774789,42.88289044,11.08531925,7.359436128,8.269362506,8.991388975,12.95494398,11.30789225,217.1369424,186.4646076,254.7718778,186.6899341,190.531697,176.188368,3.705710006,2.694857163,2.346658724,1.617540835,2.697071111,1.953117717,46.18749033,50.45170329,84.69107812,78.20560444,59.07345054,62.78019054,58.69254979,55.68114267,37.81484934
"PHZ51",0.112304574,0.086354839,0.111672887,0.313344761,0.467778097,0.305064502,0.355968079,0.412080806,0.512051861,55.23489483,33.9970314,42.23531017,39.49545029,73.22132778,45.60838633,12.64285081,8.519745926,9.441505435,9.801762062,15.38090985,12.34488099,390.9563011,263.6665002,404.8204892,232.798963,320.1582276,211.4180239,5.492796983,3.914544027,3.367771305,2.043929726,4.23744696,2.932134748,67.8686471,50.21647633,97.13960132,77.92321823,66.32277422,54.41229057,77.38809678,72.46108019,47.98506301
"SC-MALAWI",0.128458228,0.097913161,0.12721246,0.33445296,0.417342127,0.29636562,0.356082269,0.439518048,0.482537231,56.2746843,35.88827337,42.27707722,50.75224151,62.44544328,49.56494823,12.76843924,9.456579534,9.596866814,10.43692585,14.28614585,12.80623584,443.7046843,337.9829087,405.1425011,305.6972468,333.2636872,244.5068652,6.056983774,4.404483015,3.243334151,2.506002555,4.095048325,3.166891464,60.67305724,57.74191355,96.68965967,90.09286292,64.96422569,54.76370497,85.68072477,79.04443228,69.17701181
"UH_2500",0.106025464,0.083599749,0.108675738,0.288029974,0.402235857,0.310420853,0.310196172,0.376260318,0.352737482,47.65281657,35.0165405,34.5158933,37.08153739,53.85190892,39.13676986,10.88581945,8.787252298,9.105987816,8.370809449,12.56279075,11.07858928,229.7827373,242.7529788,328.9678386,193.8587673,239.7546892,218.0673579,3.677199065,3.733605365,2.901038799,1.617868401,2.918821867,2.890634355,48.47107936,43.54635619,88.05767033,84.89288627,68.98889948,58.2793407,65.92880267,71.01582775,44.26167056
"UH_6102",0.108683329,0.078068459,0.123544876,0.336126011,0.407706134,0.199307769,0.281131458,0.39025906,0.405694264,55.80122218,39.34954262,44.06887597,42.61426782,61.11880576,43.15970119,12.48419769,9.333098206,10.37834369,9.888680733,14.5333932,12.5654184,328.2314993,275.1506764,339.7883029,213.2527703,266.2710647,180.1763054,5.137812386,4.195200538,3.35133118,2.014363176,3.270008686,2.185073158,51.1519691,45.76637603,80.29448403,71.89651964,71.14565761,58.79727077,73.45852936,79.24377001,51.26530667
"UH_6179",0.094546653,0.074804593,0.109448271,0.318162187,0.316858052,0.14183957,0.299796853,0.381605571,0.361911821,47.54873529,34.93232514,41.9664339,41.16764342,59.75128507,42.44600703,12.00732882,9.337388606,10.33632328,9.530162511,14.13141756,11.52742499,240.475427,257.5866991,297.8733729,176.2377391,281.2709649,137.5497206,4.451441372,4.058967317,2.833074482,1.784525882,3.492396607,1.588185902,41.95668032,44.58115069,81.94871537,63.12978491,66.09734137,62.27573267,63.75929049,67.20425334,45.69715514
"UH_P024",NA,0.066057008,0.105867204,NA,NA,0.147174715,0.214750276,0.323669716,0.317166037,43.82500073,32.49281028,35.52974528,NA,57.52985173,39.00549843,11.03080287,8.56833261,8.276084872,NA,13.63564476,10.30995461,271.225335,240.6196519,253.4375302,NA,231.4308281,152.0603698,3.949098661,3.306257849,1.73187988,NA,2.68920851,1.48466431,54.21503902,54.41066112,100.7364922,NA,66.49765964,65.84541339,46.30766099,63.42117457,56.3608012
"UH_P060",0.11892731,0.092029614,0.120743846,0.354556903,0.394768926,0.184601793,0.378463206,0.429778649,0.461534294,54.45817089,36.6189439,54.35245521,42.31399506,77.343712,41.72199854,13.1076885,10.00908454,11.89194837,10.34044679,17.12553613,11.92955981,334.1935707,280.4440483,345.5655088,264.0641309,345.5578325,188.6126472,5.984733203,4.847293789,3.687532441,2.52591442,4.932901836,1.948986846,46.73344152,42.18945372,72.20844483,71.65753233,59.84671268,55.95860936,78.99320559,74.2925322,55.55834888
"UH_P064",0.099406193,0.083613331,0.117278216,0.301399311,0.404159153,0.229925432,0.323262376,0.402586792,0.454362665,60.72213969,31.30574045,44.05341585,36.11751329,60.32051168,46.19772578,13.32288384,8.570364875,9.974071358,9.02771553,14.66280367,11.91349278,313.9102769,234.8824571,334.8179747,171.4739491,262.849247,185.8057604,5.912371648,3.919758792,3.15381378,1.69642303,3.816271024,2.448803853,44.03673515,40.22900367,84.87608887,71.08877531,61.16774315,53.22506999,62.9627243,71.8176473,50.80736028
