"GENOTYPE","Bernburg.2014.OPT","Blois.2014.OPT","Blois.2014.WD","Campagnola.2012.WD","Campagnola.2012.OPT","Campagnola.2013.WD","Campagnola.2013.OPT","Craiova.2012.WD","Craiova.2012.OPT","Debrecen.2012.WD","Debrecen.2012.OPT","Debrecen.2013.WD","Gaillac.2012.OPT","Gaillac.2013.WD","Gaillac.2013.OPT","Graneros.2013.WD","Graneros.2013.OPT","Karlsruhe.2012.WD","Karlsruhe.2012.OPT","Karlsruhe.2013.WD","Karlsruhe.2013.OPT","Martonvasar.2013.WD","Martonvasar.2013.OPT","Murony.2013.WD","Murony.2013.OPT","Nerac.2012.WD","Nerac.2012.OPT","Nerac.2013.WD","Nerac.2013.OPT"
"PA405",85.09,79.85,70.47,21.82761505,36.30673995,21.86775747,41.14220516,11.84900697,45.40512857,42.67935331,51.55795013,39.97756661,99.02113461,71.63209716,92.24046675,53.32899022,94.68910287,65.83642631,74.47669383,77.14551463,63.84299141,65.30963867,95.94581731,50.50817091,49.26879487,33.88666824,74.13833036,18.86200868,74.95724213
"PA91",104.47,89.15,94.64,8.16746413,18.31977759,40.97101964,65.26107829,13.2874561,37.06213678,61.157406,76.80433184,64.76698031,134.1537753,94.55795334,117.8055353,64.9353759,108.3092719,131.5486455,108.3618379,105.9713648,87.49737647,72.69218904,88.35429348,78.30269223,83.18265876,45.99283404,92.13388608,41.66296599,71.72317975
"PB116",76.74,79.1,72.35,10.49646522,27.12100949,30.76209557,37.74540689,6.20741855,32.75629399,43.26276115,46.02697018,46.60575522,104.6569747,71.69054405,94.71396434,51.64747106,80.13761751,74.34230794,72.24913978,75.63461365,55.01228751,80.45091484,68.53660365,52.54360695,48.68842075,42.94060265,81.91436742,37.92740907,76.09719736
"PB98TR",69.46,92.03,75.1,30.57671541,45.24729845,24.82828729,38.74126634,13.4035985,45.12175943,31.34751833,46.898651,60.45123357,111.4355016,63.81617766,112.3835712,65.92084361,95.69814596,96.01903387,89.4439028,93.15434357,66.80132352,65.13338894,99.74763252,56.57238516,55.80959209,38.08992871,79.04937643,29.65951245,52.12227816
"PH207",90.13,91.29,90.8,20.07307876,50.36227168,29.04433885,41.65775446,12.20009877,45.41595281,56.6675779,66.88661137,63.37536466,99.24155066,72.87467123,102.0978016,72.66310902,84.94685622,105.9019248,107.8861402,101.8058449,75.6791379,92.68926466,128.4297367,59.55065593,64.86070948,60.64861352,84.24071499,38.26993065,77.71867911
"PHB09",91.17,98.94,94.7,12.57483747,29.60390455,51.24986725,53.63643007,2.68437546,30.62515749,60.82134189,80.82484837,62.17418549,112.4186366,84.67288222,114.9563715,55.175727,115.3614615,111.4385669,107.3175273,105.8120941,90.44889111,74.5037212,122.559653,66.49010405,72.41371122,48.7689201,86.37903215,34.02076874,77.44319932
"PHG35",98.51,104.58,101.81,44.41136845,79.48794183,51.05484428,66.55303958,44.88387524,51.38896404,68.06349429,81.83212647,71.29859013,130.1727543,90.19576775,128.7005483,89.71382412,122.1844975,121.6441945,107.6832397,119.5521851,97.55656872,89.44280345,115.404657,83.3517168,83.936955,70.74428137,112.2477274,53.45667289,81.90955835
"PHG39",95.81,97.87,90.98,26.81907098,57.6005855,47.84474036,68.4484335,15.9620458,54.94573418,55.89254006,54.59126186,71.29927744,115.1447932,86.13940014,105.9647739,81.52434095,107.6138902,118.630732,109.4885724,114.6265345,96.45928592,78.96170152,128.8389748,85.41571005,95.47057483,55.33824624,96.9030797,40.6641249,88.29568982
"PHG47",85.58,92.35,81.44,14.77871744,25.82821581,37.15375826,49.18573454,13.34536834,35.96003301,66.83533622,68.72984972,68.46458318,114.7546257,77.75311665,105.045967,69.6477819,93.18863215,111.4727735,107.3359973,98.3980932,78.66380262,88.85157787,103.9767071,55.12958238,62.03227202,56.58819169,91.62127234,37.88139885,74.45563786
"PHG50",95.15,99.94,91.11,19.84582214,51.56361122,33.94787893,47.39934179,13.7780195,46.95403094,53.08809717,64.7194624,60.73855382,114.4753475,72.50229802,108.5197808,72.86209412,93.03914618,100.0166775,108.1306661,93.00958726,80.21132909,96.9667784,129.056232,69.89418875,77.26264663,56.8214643,87.43202453,46.18484698,75.1086372
"PHG71",87.46,93.15,86.73,20.75452249,53.58679611,41.13117892,55.40607323,26.29270833,47.27136447,53.75316151,59.92001068,56.85000557,106.5035968,78.77172729,101.0325741,77.69682465,108.7455624,105.1030399,103.0680722,98.8530791,90.34434052,74.52752712,104.2712827,61.85568184,64.81001717,47.83366675,82.99076121,37.12282863,76.52969014
"PHG80",91.14,106.64,102.92,23.69162378,51.00662646,41.86067852,57.12545405,5.50478955,23.22153475,66.56878347,74.75754733,74.69576097,125.5971504,87.18166169,118.0733191,67.93431054,84.99038028,124.6863527,112.9004087,118.5360787,101.0018317,84.12675657,126.2251265,65.92883903,78.73346991,56.51811708,116.6188317,48.23908812,83.80791534
"PHG83",106.51,89.41,97.72,6.73052311,18.62239695,38.14176489,44.00916728,4.44057328,35.74761064,60.81303076,66.99781825,63.44978192,119.7828145,86.0846606,102.8096909,69.53109445,99.66504232,119.1359884,121.4213321,120.1129103,112.0648514,82.07029508,106.8723092,73.01079878,74.42519689,65.86314454,99.6101391,55.5304868,97.15587989
"PHG84",98.05,103.07,99.34,15.61415412,22.20385089,41.51705934,61.00888158,18.97889589,53.72614564,67.51995414,76.61798617,73.49896954,102.2144579,95.20521953,117.5461732,84.78809755,116.4994778,117.9865296,111.3030606,126.8763982,96.27633533,82.67300183,103.5498218,85.50006199,92.97382418,50.82075252,86.97249403,51.0237366,100.9089314
"PHG86",100.71,99.8,99.82,19.64858124,51.50019877,39.04063427,58.30249375,19.27396987,66.06495723,57.55833771,76.5881498,61.03980626,127.0619457,77.13220484,110.9763074,79.32421303,103.8829455,122.0121,123.5951666,105.4949801,80.88806383,83.49436931,127.3452863,80.49913882,85.24687373,51.32750665,94.60545885,36.53780985,80.4969175
"PHH93",91.49,96.74,91.04,3.8742028,21.23668896,28.46732386,61.07276513,9.06825699,39.17806281,52.32208724,54.03140338,67.1340467,104.0137774,64.72100326,95.18920963,65.10706644,83.60324145,102.4695272,113.3376569,92.63508714,78.42303589,83.66332823,95.90134758,55.68962976,51.98475478,58.07082604,93.02024974,46.88578137,69.38820743
"PHJ40",93.71,94.55,77.31,11.43087369,26.2899209,37.47296539,48.68761127,4.98810407,24.9329585,57.04206677,69.29146526,49.49304972,113.559105,76.36671223,96.29839712,63.01098562,87.51431711,100.1653674,87.81391798,97.28699982,79.42947981,75.05013475,112.7162711,62.12483491,57.34462923,51.56612444,83.72357448,34.86315904,66.03321905
"PHK29",103.26,101.39,105.4,26.28249345,54.00092246,38.80009946,64.61699232,21.94895498,56.14311204,62.86809584,64.19937776,71.44539363,137.5571508,94.31256953,126.2157269,76.44043562,116.44893,124.0169597,117.9656934,117.3101579,92.08599869,88.43740605,100.2126193,92.07345702,96.90785899,56.07859876,96.29148691,45.2997395,89.54914652
"PHK76",84.05,94.94,90.76,24.34476168,41.36861512,41.09328282,50.16461249,30.68279264,56.16012997,63.70307766,64.91454185,61.73607872,111.430866,83.37528726,99.18065558,76.06123113,99.03271218,109.8405292,98.3097013,100.9295881,97.23022521,94.36738597,128.3855133,74.02473321,86.06434352,53.5149322,87.46565108,42.86083253,79.16280593
"PHR36",98.02,99.71,80.77,28.2590429,38.8903292,44.14721411,52.64247985,16.16435178,39.69761677,55.06280205,61.99140604,58.78719156,113.6194624,85.42096508,113.8210502,61.10859174,92.3897071,110.2665664,97.88587578,121.0523393,92.66816361,77.116423,112.0078013,66.48158945,66.59804379,60.19006648,96.58460609,56.24582795,92.15014533
"PHT77",98.99,97.79,89.63,13.50402502,27.3838815,47.78576982,58.40032394,8.65164321,17.44031259,63.76939731,77.60295034,75.92534781,117.6508377,79.53859848,113.1527559,74.02210843,112.8969677,117.6197771,89.62195959,108.4309312,92.10418151,84.62920291,105.2333514,73.11375722,79.8585704,55.22802156,89.94817884,43.6246305,86.98652092
"PHV63",104.49,98.13,105.41,17.21981617,56.42433358,38.20754095,57.26706819,18.22321715,54.73951473,66.65539354,68.4704215,76.09814813,114.8339199,94.26566542,117.7992413,75.86668006,115.3220727,110.7555144,98.72819775,119.1229213,102.431126,95.16372966,133.880133,75.36637147,93.30067141,43.21760042,97.46844197,36.64827949,93.45351277
"PHW65",101.51,102.32,96.18,25.9405238,52.60024509,49.08745848,66.58739218,25.00349143,51.79662141,76.44692709,75.75236951,73.37753361,113.7613614,88.06126008,118.8033413,77.18156797,110.5517676,113.4927228,110.622907,137.0062082,104.8250552,94.5570866,116.4895392,80.39767021,88.58675543,66.53458325,99.65455968,55.95011666,82.47977966
"PHZ51",93.47,102.11,98.77,20.45911641,35.76196208,38.34052796,57.35184879,7.49832109,28.68095434,54.30333524,74.86671452,62.57454628,120.3410804,86.88150161,121.2114618,65.95857804,88.8559574,110.0061866,119.1855882,116.56642,104.6771095,78.02660229,100.222716,78.00098485,91.83572869,64.67221816,98.34890876,58.37320128,86.32285207
"SC-MALAWI",48.94,NA,NA,10.30935496,25.59150718,39.64843232,39.84415568,14.39348826,46.66112747,50.29864836,45.11242322,60.84617594,135.213686,71.89175921,99.58300997,44.88530401,60.87500755,127.7592131,102.503884,117.0907338,100.8333575,73.82529606,93.42684552,58.45433633,63.54870207,36.73651417,98.89724457,32.50418601,85.90787504
"UH_2500",57.27,70.17,63.6,15.55608308,41.22697115,28.0834159,49.88111368,6.87088737,37.36061904,48.96567847,46.33018438,27.36607403,87.47331359,52.06079858,75.5746162,59.50575856,87.74465965,73.93382952,79.27782658,58.63445879,45.17556135,63.68999711,86.8045658,46.88357369,59.03196732,38.01914861,68.89799724,29.99420939,75.98829001
"UH_6102",88.48,85.24,83.54,15.88320344,39.6238564,27.92997569,48.50009681,9.12534604,41.65400314,51.81868197,62.50477932,57.94108763,98.58897868,66.61828114,88.53930169,66.26386808,111.5697031,106.9449941,100.7241692,88.68318251,74.79549154,76.08138483,102.5898447,60.31971944,69.20425625,55.07699252,93.37546942,34.19415266,84.32576713
"UH_6179",92.86,84.24,85.4,21.49060847,31.37211171,26.70196372,52.84506086,3.07197931,42.94270484,48.25799181,61.62732829,57.81376244,104.489863,71.98493077,91.89734161,76.00538625,110.3328847,94.50675376,105.2918343,98.21342318,60.35372244,75.20762001,96.72629851,68.25483728,69.94629776,48.9278271,76.76356215,34.72258673,83.83562492
"UH_P024",100.16,97.22,89.38,14.65836576,50.79717184,40.11799708,58.30150306,16.70034899,26.77204843,48.39985573,49.86493996,64.11496913,112.8663762,81.77292131,108.4563142,73.60472215,106.628265,107.8558778,94.33091534,97.91479556,72.60512457,94.68497178,117.5160335,72.15006355,87.62270048,49.63068395,90.09060621,46.72171065,84.16183623
"UH_P060",91.2,84.66,85.96,8.84763536,21.35970193,30.69955947,60.49530831,8.71978383,30.18756725,51.8283361,65.09891999,50.8330645,108.6585735,76.18953792,95.25559123,63.77653834,91.87855482,90.75725681,103.6891822,85.3698758,72.05439658,69.87502136,89.32591704,52.71149633,56.14177879,49.21735067,83.62701927,30.53909994,78.27363179
"UH_P064",94.62,91.11,84.84,33.38237346,59.16189682,36.30883561,47.75237057,20.55567521,36.55554475,62.0638301,61.99241651,66.52010535,116.8451404,89.68008358,110.9745302,79.88575142,91.76338802,105.2971212,114.1388666,90.52530152,75.55258042,87.56280708,121.8369175,50.14638639,39.25041504,53.23586384,96.64970016,45.06139301,76.0759051
"UH_P074",89.5,84.84,94.38,22.34872408,52.84873513,35.32319541,52.50319496,11.67063158,31.49813144,53.19605763,48.67082545,59.02159236,116.1725471,74.18231343,98.9208077,71.52662688,98.24259749,93.67831015,75.7077683,98.10617041,73.94485994,90.63649635,111.2193601,62.62080163,59.30382391,51.09766658,84.45087329,37.24154513,73.80519638
"UH_P087",92.88,92.19,74.77,15.07314296,46.3091725,34.3831766,52.00877832,9.30833334,41.89001924,56.12348574,51.59526518,53.97902291,104.4981545,67.4379722,91.25643784,69.64062906,100.5554924,96.78335944,93.77431635,81.71896204,58.64975831,62.23937705,98.37572414,54.20054149,57.02305876,44.99903643,81.27276763,29.640244,89.14948128
"UH_P089",88.21,87.81,88.67,35.03602284,63.09315067,34.12462047,51.4664687,30.64492754,60.68393752,59.47932104,72.43375865,57.13346767,115.2927022,78.77292216,92.71021607,85.70971037,117.7570781,88.34614449,78.57269768,78.89416992,75.36016686,88.93498409,119.9357777,54.0788398,72.67159485,51.74452124,86.76313324,44.39404382,78.89725679
"UH_P104",93.73,96.95,91.74,19.59549922,28.53749049,29.9820661,54.35750887,6.6853887,39.90297199,45.18122024,49.93267819,40.29459982,107.6221512,70.21158047,87.12133884,57.03130064,84.39714084,91.82910641,98.77364477,89.61419161,66.52785199,57.82808763,88.64047978,48.34486248,75.01295631,48.08891089,86.34877619,37.80105647,63.64645521
"UH_P115",89.34,84.64,83.97,17.4154593,25.29823591,41.36913794,60.73745335,13.26897642,33.59073855,52.51449257,63.09558608,55.61323772,118.970039,72.59005438,92.12649121,75.50445855,105.52649,98.64054169,99.71527214,98.22856304,63.73726594,68.50977741,96.3796264,62.82076255,62.75777896,59.64283771,92.11575015,37.29816017,87.7515318
"UH_P128",NA,93.51,96.92,13.53331241,36.17727201,45.63359585,55.4791132,7.75502445,28.23090041,49.57560531,66.79643609,57.7964084,110.5987946,83.71829025,106.3807872,72.21803385,87.24106062,96.39926064,97.68860639,102.6137192,82.02510874,66.96702987,101.4673198,64.20459881,80.51535682,53.3392148,86.68114811,35.12548149,71.98532963
"UH_P148",97.48,99.6,88.17,21.1695985,55.03962853,40.99871301,51.87722034,20.14591776,32.91997261,43.36253974,53.53235653,55.51320208,97.89849891,73.62072521,95.9044289,70.94333105,102.0098354,95.70382245,101.4000865,89.04779035,73.22452305,87.75667195,120.0624585,76.02267143,70.33239688,56.23629727,89.12690092,45.46412597,75.98857835
